Country Name,Country Code,Series Name,Series Code,2020 [YR2020],データソース_dataset1,データソース_dataset2
Morocco,MAR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,98.1,データセット1,データセット2
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,121353645057.144,,データセット2
Mozambique,MOZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,5.2,データセット1,データセット2
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,14235420174.1884,,データセット2
Myanmar,MMR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,40.75,データセット1,データセット2
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,79006113643.1906,,データセット2
Namibia,NAM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,46.9,データセット1,データセット2
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,10583748541.5258,,データセット2
Nauru,NRU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,124530027.301054,,データセット2
Nepal,NPL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,36.9,データセット1,データセット2
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,33433659301.2466,,データセット2
Netherlands,NLD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,932560861701.17,,データセット2
New Caledonia,NCL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,9454629467.91408,,データセット2
New Zealand,NZL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,212697530897.56,,データセット2
Nicaragua,NIC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,56.9,データセット1,データセット2
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,12681569254.2815,,データセット2
Niger,NER,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,4.3,データセット1,データセット2
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,13744653103.058,,データセット2
Nigeria,NGA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,19.8,データセット1,データセット2
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,432198898467.795,,データセット2
North America,NAC,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,23016676877000.2,,データセット2
North Macedonia,MKD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,79.6,データセット1,データセット2
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,12361036913.8409,,データセット2
Northern Mariana Islands,MNP,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,866000000,,データセット2
Norway,NOR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,367633418886.627,,データセット2
Not classified,INX,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,..,,データセット2
OECD members,OED,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,98.0741239775589,データセット1,データセット2
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,53000805354035.6,,データセット2
Oman,OMN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,75909492847.8544,,データセット2
Other small states,OSS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,70.2018152929665,データセット1,データセット2
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,181482110538.085,,データセット2
Pacific island small states,PSS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,31.3012227983427,データセット1,データセット2
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,9516738321.20753,,データセット2
Pakistan,PAK,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,49.4,データセット1,データセット2
