,period,reporterCode,primaryValue,debt_ratio,gdp_per_cap
0,2010,36,38004358372.0,28.6633975352712,53578.8125049759
1,2010,40,7191716699.0,87.6567178372011,43035.407467795
2,2010,56,8176073533.354,93.1802046517235,39991.5646228587
3,2010,124,43240159894.0,53.1497329605545,41164.3399062659
4,2010,208,6426366383.0,,51209.4492636368
5,2010,233,921924050.0,8.96568294463499,14657.9387698819
6,2010,251,48872681511.0,81.5839043330584,35578.1967958814
7,2010,300,3797414605.0,136.928187116935,21547.7241895964
8,2010,348,6173901000.0,81.2817151464614,11307.7161991209
9,2010,352,235665462.0,150.633812484101,48193.7014041013
10,2010,372,3336509645.008,82.4653136911507,47040.3543858023
11,2010,392,153203233770.0,160.498098433606,32942.2020783725
12,2010,440,570238922.0,41.8012709485019,10884.1160456797
13,2010,554,4872407772.413,34.8105506978391,35392.017344657
14,2010,703,8068201925.268,45.5854609215903,14596.1478430022
15,2010,724,50142730981.153,49.9611949485467,25766.2515889226
16,2010,752,7407657439.0,43.5707586390208,48204.6580784176
17,2010,826,61733671529.0,131.087940527915,42311.4329860219
18,2010,842,382964820324.0,84.9643739761343,52821.4047643404
19,2011,36,43447909794.0,30.0953996273683,54111.357240336
20,2011,40,8899480099.0,87.866630904677,44146.1957578601
21,2011,56,9395707045.425,94.869878328893,40236.9596151297
22,2011,124,48653536126.0,54.1193858391726,42043.6419607016
23,2011,208,6720217637.0,,51667.5313181951
24,2011,233,1419981000.0,7.16885826942615,15820.9215165125
25,2011,251,57431105723.0,83.3376896463065,36269.9561589984
26,2011,300,3467938901.0,116.116344893868,19448.2557511168
27,2011,348,6079151000.0,90.562544900341,11551.4989289342
28,2011,352,303031245.0,156.915918249342,48933.5456614347
29,2011,372,3578146189.463,110.569372265448,47607.8852921203
30,2011,392,183882189759.0,175.567641219028,33011.13423011
31,2011,440,628314685.0,41.4084048325207,11836.7199700848
32,2011,554,5876729911.21,48.135830634183,35910.4173636577
33,2011,703,9515351622.122,48.6865522353748,14950.8735594537
34,2011,724,52041127801.01,57.7899857640377,25510.5579601069
35,2011,752,6845032635.0,43.9567484111978,49355.6899419737
36,2011,826,66039713607.0,143.759014549588,42459.9629998419
37,2011,842,417340261542.0,89.5467947782693,53259.2552138539
38,2012,36,45996260698.0,39.441661369273,55257.5739287362
39,2012,40,8576840047.326,92.4903678869107,44221.4600041556
40,2012,56,7991103063.081,103.556484643172,40074.4928091814
41,2012,124,50764771704.0,55.7251649377054,42320.6431282192
42,2012,208,6405169702.0,,51470.6898338005
43,2012,233,1412968586.0,14.5041408926927,16460.6838753207
44,2012,251,53458273330.0,91.0281619856124,36161.2918334209
45,2012,300,2944646704.0,170.278178335433,17924.6620516477
46,2012,348,5412282799.0,94.1475132059307,11466.1419094704
47,2012,352,341502602.0,152.739624546059,49191.574417162
48,2012,372,3547683282.129,128.785045575103,47217.4433846332
49,2012,392,188500370264.0,183.706209324867,33518.444936892
50,2012,440,681588094.0,47.4575104035203,12522.3408614335
51,2012,554,6248986386.151,51.6565054668175,36531.7484498327
52,2012,703,9762565899.442,58.4255976190845,15159.6571004823
53,2012,724,45796971467.975,77.446159411603,24763.5682703688
54,2012,752,8053266091.978,43.7272319165571,48788.8671231037
55,2012,826,56267400219.0,147.053681621506,42802.0207834042
56,2012,842,444386003526.0,93.6492746079881,54080.2286497215
57,2013,36,44861052377.0,37.5600008066242,55728.0174035719
58,2013,40,8928340062.038,89.5758769414562,43851.3675464788
59,2013,56,7992736880.193,101.11748085884,40007.8997697861
60,2013,124,51209844839.0,53.200869076551,42851.1705330235
61,2013,208,6573974542.0,,51970.3909405024
62,2013,233,1465546691.0,14.6301007382315,16809.532320526
63,2013,251,54221962983.0,92.6322654272623,36256.0866889623
64,2013,300,2914166574.0,187.608117967348,17644.8766792834
65,2013,348,5360437378.0,94.7331902055697,11705.0092523564
66,2013,352,391969275.0,140.954580207259,50946.8162625339
67,2013,372,3997916568.361,129.108632155252,47999.1237980737
68,2013,392,180977514211.0,186.564297348971,34239.8862473683
69,2013,440,750783908.0,45.0676028896806,13161.6342669635
70,2013,554,6770766523.427,46.4495246931876,37252.7570550478
71,2013,703,12224399631.133,63.0838478435478,15249.8825237603
72,2013,724,46266777871.711,91.8693310672975,24490.2279309777
73,2013,752,8197296165.93,45.3793882460787,48927.5973053354
74,2013,826,57587864581.0,141.643327770171,43281.5764200721
75,2013,842,459107864232.0,95.3225056118879,54844.2425797154
76,2014,36,46854594144.0,41.7223304965257,56327.8533063277
77,2014,40,9625579505.719,97.8910849273006,43838.8346845363
78,2014,56,8661725797.855,111.761996278293,40533.9134833922
79,2014,124,53066195538.0,51.4827081297932,43643.2356474848
80,2014,208,7113521257.0,,52368.3625852985
81,2014,233,1506153282.0,14.4483977377516,17413.6860003066
82,2014,251,56416479646.0,99.72897755994,36444.3949135827
83,2014,300,3313757754.0,190.585867838051,17903.5252559978
84,2014,348,5140096968.0,98.6713309160176,12233.299367172
85,2014,352,397510600.0,135.796521914069,51233.2440468041
86,2014,372,4499551031.411,117.757439976442,52098.1049579337
87,2014,392,181294159255.0,192.112850344345,34386.905855287
88,2014,440,884211851.0,48.5816817622371,13776.1052981213
89,2014,554,7198993138.419,43.9103004132691,38014.6435529728
90,2014,703,13355685131.945,65.7022973447767,15647.6491148855
91,2014,724,52971625587.906,104.927837414283,24937.0366118341
92,2014,752,8695062124.562,49.8169253192044,49556.7005007699
93,2014,826,64147253698.0,150.591619713999,44336.537861323
94,2014,842,486296238006.0,95.454198507531,55817.5632471958
