country,date,UN_rGDP,WDI_rGDP,COM
JPN,2020,530009523.98525274,529728706.0616163,32086600.0
JPN,2020,530009523.98525274,529728706.0616163,215934.35
JPN,2020,530009523.98525274,529728706.0616163,47931900.0
JPN,2020,530009523.98525274,529728706.0616163,130623.784
JPN,2020,530009523.98525274,529728706.0616163,283079000.0
JPN,2020,530009523.98525274,529728706.0616163,550754.672
JPN,2020,530009523.98525274,529728706.0616163,55251600.0
JPN,2020,530009523.98525274,529728706.0616163,239655800.0
JPN,2020,530009523.98525274,529728706.0616163,448907.399
JPN,2020,530009523.98525274,529728706.0616163,2546300.0
JPN,2020,530009523.98525274,529728706.0616163,60670500.0
JPN,2020,530009523.98525274,529728706.0616163,13947300.0
JPN,2020,530009523.98525274,529728706.0616163,589319.093
JPN,2020,530009523.98525274,529728706.0616163,418668.929
JPN,2020,530009523.98525274,529728706.0616163,101310.628
JPN,2020,530009523.98525274,529728706.0616163,13617300.0
JPN,2020,530009523.98525274,529728706.0616163,517460.231
JPN,2020,530009523.98525274,529728706.0616163,1980869.375
JPN,2020,530009523.98525274,529728706.0616163,406680.121
JPN,2020,530009523.98525274,529728706.0616163,62924300.0
JPN,2020,530009523.98525274,529728706.0616163,357400.0
JPN,2020,530009523.98525274,529728706.0616163,10817400.0
JPN,2020,530009523.98525274,529728706.0616163,3347.239
JPN,2020,530009523.98525274,529728706.0616163,58806600.0
JPN,2020,530009523.98525274,529728706.0616163,3228700.0
JPN,2020,530009523.98525274,529728706.0616163,4606300.0
JPN,2020,530009523.98525274,529728706.0616163,23847.436
JPN,2020,530009523.98525274,529728706.0616163,211506500.0
JPN,2020,530009523.98525274,529728706.0616163,43423100.0
JPN,2020,530009523.98525274,529728706.0616163,5054068.005
JPN,2020,530009523.98525274,529728706.0616163,44703200.0
JPN,2020,530009523.98525274,529728706.0616163,127533.161
JPN,2020,530009523.98525274,529728706.0616163,2651183.4
JPN,2020,530009523.98525274,529728706.0616163,30238.47
JPN,2020,530009523.98525274,529728706.0616163,2244502.342
JPN,2020,530009523.98525274,529728706.0616163,568211.073
JPN,2020,530009523.98525274,529728706.0616163,539646000.0
JPN,2020,530009523.98525274,529728706.0616163,300507.849
JPN,2020,530009523.98525274,529728706.0616163,23056300.0
JPN,2020,530009523.98525274,529728706.0616163,43140.417
JPN,2019,555481158.5083491,552647661.6869532,32779800.0
JPN,2019,555481158.5083491,552647661.6869532,214585.558
JPN,2019,555481158.5083491,552647661.6869532,46470300.0
JPN,2019,555481158.5083491,552647661.6869532,129740.788
JPN,2019,555481158.5083491,552647661.6869532,286784600.0
JPN,2019,555481158.5083491,552647661.6869532,556578.167
JPN,2019,555481158.5083491,552647661.6869532,57133000.0
JPN,2019,555481158.5083491,552647661.6869532,243074800.0
JPN,2019,555481158.5083491,552647661.6869532,426295.225
JPN,2019,555481158.5083491,552647661.6869532,2794800.0
JPN,2019,555481158.5083491,552647661.6869532,60115400.0
JPN,2019,555481158.5083491,552647661.6869532,14143000.0
JPN,2019,555481158.5083491,552647661.6869532,594192.262
JPN,2019,555481158.5083491,552647661.6869532,398550.896
JPN,2019,555481158.5083491,552647661.6869532,96929.937
JPN,2019,555481158.5083491,552647661.6869532,13246200.0
JPN,2019,555481158.5083491,552647661.6869532,524109.486
JPN,2019,555481158.5083491,552647661.6869532,2084541.753
JPN,2019,555481158.5083491,552647661.6869532,400971.782
JPN,2019,555481158.5083491,552647661.6869532,64772700.0
JPN,2019,555481158.5083491,552647661.6869532,445100.0
JPN,2019,555481158.5083491,552647661.6869532,10566300.0
JPN,2019,555481158.5083491,552647661.6869532,4083.124
JPN,2019,555481158.5083491,552647661.6869532,60672400.0
JPN,2019,555481158.5083491,552647661.6869532,3024300.0
JPN,2019,555481158.5083491,552647661.6869532,4302200.0
JPN,2019,555481158.5083491,552647661.6869532,25638.093
JPN,2019,555481158.5083491,552647661.6869532,227235200.0
JPN,2019,555481158.5083491,552647661.6869532,43709800.0
JPN,2019,555481158.5083491,552647661.6869532,5117993.853
JPN,2019,555481158.5083491,552647661.6869532,43445900.0
JPN,2019,555481158.5083491,552647661.6869532,121513.995
JPN,2019,555481158.5083491,552647661.6869532,2630818.08
JPN,2019,555481158.5083491,552647661.6869532,27743.411
JPN,2019,555481158.5083491,552647661.6869532,2229846.298
JPN,2019,555481158.5083491,552647661.6869532,551468.528
JPN,2019,555481158.5083491,552647661.6869532,557910800.0
JPN,2019,555481158.5083491,552647661.6869532,300705.444
JPN,2019,555481158.5083491,552647661.6869532,23391900.0
JPN,2019,555481158.5083491,552647661.6869532,39466.225
JPN,2018,553983714.7934777,554879214.991907,31548800.0
JPN,2018,553983714.7934777,554879214.991907,201220.433
JPN,2018,553983714.7934777,554879214.991907,45914800.0
JPN,2018,553983714.7934777,554879214.991907,120756.349
JPN,2018,553983714.7934777,554879214.991907,281235300.0
JPN,2018,553983714.7934777,554879214.991907,545668.947
JPN,2018,553983714.7934777,554879214.991907,56734600.0
JPN,2018,553983714.7934777,554879214.991907,238532800.0
JPN,2018,553983714.7934777,554879214.991907,415807.625
JPN,2018,553983714.7934777,554879214.991907,2696000.0
JPN,2018,553983714.7934777,554879214.991907,59623000.0
JPN,2018,553983714.7934777,554879214.991907,13334300.0
JPN,2018,553983714.7934777,554879214.991907,585718.509
JPN,2018,553983714.7934777,554879214.991907,389198.176
JPN,2018,553983714.7934777,554879214.991907,97221.435
JPN,2018,553983714.7934777,554879214.991907,11958700.0
JPN,2018,553983714.7934777,554879214.991907,513792.488
JPN,2018,553983714.7934777,554879214.991907,2104220.34
JPN,2018,553983714.7934777,554879214.991907,386716.813
JPN,2018,553983714.7934777,554879214.991907,64676900.0
JPN,2018,553983714.7934777,554879214.991907,63600.0
JPN,2018,553983714.7934777,554879214.991907,10735500.0
JPN,2018,553983714.7934777,554879214.991907,575.966
JPN,2018,553983714.7934777,554879214.991907,60254500.0
JPN,2018,553983714.7934777,554879214.991907,2938200.0
JPN,2018,553983714.7934777,554879214.991907,4188300.0
JPN,2018,553983714.7934777,554879214.991907,24415.164
JPN,2018,553983714.7934777,554879214.991907,232354700.0
JPN,2018,553983714.7934777,554879214.991907,42702500.0
JPN,2018,553983714.7934777,554879214.991907,5040880.939
JPN,2018,553983714.7934777,554879214.991907,42976500.0
JPN,2018,553983714.7934777,554879214.991907,108298.82
JPN,2018,553983714.7934777,554879214.991907,2546886.457
JPN,2018,553983714.7934777,554879214.991907,26608.544
JPN,2018,553983714.7934777,554879214.991907,2160169.644
JPN,2018,553983714.7934777,554879214.991907,539950.039
JPN,2018,553983714.7934777,554879214.991907,556630100.0
JPN,2018,553983714.7934777,554879214.991907,285708.129
JPN,2018,553983714.7934777,554879214.991907,22219400.0
JPN,2018,553983714.7934777,554879214.991907,37929.536
JPN,2017,550904975.3129588,551331994.4302777,30186400.0
JPN,2017,550904975.3129588,551331994.4302777,182881.392
JPN,2017,550904975.3129588,551331994.4302777,45525700.0
JPN,2017,550904975.3129588,551331994.4302777,117576.48
JPN,2017,550904975.3129588,551331994.4302777,271992200.0
JPN,2017,550904975.3129588,551331994.4302777,518381.032
JPN,2017,550904975.3129588,551331994.4302777,54643000.0
JPN,2017,550904975.3129588,551331994.4302777,230363300.0
JPN,2017,550904975.3129588,551331994.4302777,405877.385
JPN,2017,550904975.3129588,551331994.4302777,2302500.0
JPN,2017,550904975.3129588,551331994.4302777,58648200.0
JPN,2017,550904975.3129588,551331994.4302777,13188100.0
JPN,2017,550904975.3129588,551331994.4302777,556119.694
JPN,2017,550904975.3129588,551331994.4302777,379067.155
JPN,2017,550904975.3129588,551331994.4302777,99047.715
JPN,2017,550904975.3129588,551331994.4302777,11422000.0
JPN,2017,550904975.3129588,551331994.4302777,487161.272
JPN,2017,550904975.3129588,551331994.4302777,2128048.604
JPN,2017,550904975.3129588,551331994.4302777,371135.171
JPN,2017,550904975.3129588,551331994.4302777,62377800.0
JPN,2017,550904975.3129588,551331994.4302777,-132600.0
JPN,2017,550904975.3129588,551331994.4302777,11109800.0
JPN,2017,550904975.3129588,551331994.4302777,-1182.175
JPN,2017,550904975.3129588,551331994.4302777,58144800.0
JPN,2017,550904975.3129588,551331994.4302777,3007200.0
JPN,2017,550904975.3129588,551331994.4302777,4099400.0
JPN,2017,550904975.3129588,551331994.4302777,20527.585
JPN,2017,550904975.3129588,551331994.4302777,238695000.0
JPN,2017,550904975.3129588,551331994.4302777,41628800.0
JPN,2017,550904975.3129588,551331994.4302777,4930837.369
JPN,2017,550904975.3129588,551331994.4302777,42518500.0
