indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2018,93802.3882103535,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2017,88309.3518073886,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2016,81123.4055417881,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2015,81053.3527369241,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2014,65660.1826902822,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2013,60494.1626974676,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2012,59508.9967534594,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2011,60001.0777417458,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2010,59285.8082895976,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2009,58623.1182256825,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2008,62401.4050446356,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2007,66676.4632500485,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2006,65171.5035288689,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2005,63771.5954977053,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2004,61638.3291331961,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2003,58785.2144560051,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2002,58002.5356733579,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2001,55702.171512169,,,0
"GDP per capita, PPP (constant 2021 international $)",Ireland,IRL,2000,53744.5426721978,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2023,15912.0299184195,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2022,15331.3329400419,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2021,14951.8948716503,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2020,14397.1535705748,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2019,14040.6646532072,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2018,14642.4975713628,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2017,15108.1094121896,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2016,14915.5941209299,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2015,13905.1921172487,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2014,14299.5717729808,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2013,13804.7912969754,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2012,14202.5507641889,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2011,14941.2594887409,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2010,14737.1558480906,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2009,14104.9783035628,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2008,14138.8010468136,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2007,14275.7487984834,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2006,13416.8415056781,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2005,13056.2499373752,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2004,12935.7859087138,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2003,12666.2011613517,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2002,11788.8950217415,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2001,10998.1285086842,,,0
"GDP per capita, PPP (constant 2021 international $)","Iran, Islamic Rep.",IRN,2000,10908.2929308945,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2023,12711.0616746745,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2022,13393.6749428104,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2021,12731.7535755128,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2020,12827.6345392293,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2019,14910.2250318827,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2018,14456.2357053191,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2017,14417.6306896454,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2016,15016.0920644557,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2015,13516.0271989173,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2014,13536.8227681399,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2013,13712.931714296,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2012,13357.0143882323,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2011,12267.5848940645,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2010,11816.8410150233,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2009,11470.5178061728,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2008,11511.9387643638,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2007,10853.8161022286,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2006,10568.9137652953,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2005,10078.4437646814,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2004,10210.5631004936,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2003,6849.3320080035,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2002,11144.0505255902,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2001,12529.6084050976,,,0
"GDP per capita, PPP (constant 2021 international $)",Iraq,IRQ,2000,12702.1641950892,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2023,9362.58776056423,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2022,9266.57547415865,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2021,9182.49616125602,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2020,9022.63944977504,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2019,9288.5272415511,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2018,9311.53131354454,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2017,9339.81054860678,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2016,9321.9046623721,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2015,9581.6893809446,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2014,10148.9982632195,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2013,10799.353989331,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2012,11086.0301240431,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2011,10977.4822229714,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2010,10953.5378091936,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2009,10938.5029017232,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2008,10641.5895979974,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2007,10161.4022840707,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2006,9977.75919497734,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2005,9839.68850913446,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2004,9326.66854241318,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2003,8800.49688909923,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2002,8638.0804707775,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2001,8339.78594962647,,,0
"GDP per capita, PPP (constant 2021 international $)",Jordan,JOR,2000,8086.92215795305,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2023,45915.353682577,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2022,44937.608867666,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2021,44315.4979912492,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2020,43011.3379536038,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2019,44740.4255043033,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2018,44858.0301736984,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2017,44514.7464836783,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2016,43745.4341166357,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2015,43395.9393536881,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2014,42683.7754496421,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2013,42501.2829637667,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2012,41605.7723578966,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2011,40976.0577687849,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2010,40890.4936735911,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2009,39287.8544592545,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2008,41654.4311104211,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2007,42191.1489132898,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2006,41622.0003874483,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2005,41084.5620630809,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2004,40360.3600588774,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2003,39510.2096602084,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2002,38996.2038318537,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2001,39070.5911170118,,,0
"GDP per capita, PPP (constant 2021 international $)",Japan,JPN,2000,39014.2110212917,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2023,34703.2349286604,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2022,33506.2614893237,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2021,32945.8515725823,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2020,32011.5491499004,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2019,33298.2123695035,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2018,32330.2274546567,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2017,31524.4416339794,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2016,30758.3227260598,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2015,30893.7594851041,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2014,30986.4379168995,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2013,30177.4887221736,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2012,28881.2417563728,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2011,27946.1603432944,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2010,26374.8407672795,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2009,24901.3527260084,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2008,24895.6645683245,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2007,24351.3464102542,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2006,22574.3429577665,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2005,20565.5294470866,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2004,18886.5811908122,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2003,17344.752672995,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2002,15960.8738450013,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2001,14612.0290050498,,,0
"GDP per capita, PPP (constant 2021 international $)",Kazakhstan,KAZ,2000,12935.864368308,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2023,5682.98916248678,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2022,5491.69378280246,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2021,5338.85243382781,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2020,5057.40115537429,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2019,5171.71264279257,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2018,5017.66784674664,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2017,4846.86210851932,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2016,4770.31046388086,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2015,4679.62182831938,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2014,4558.55155266374,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2013,4443.371215682,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2012,4387.93790075409,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2011,4307.10611556858,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2010,4211.52462957784,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2009,4012.19428382397,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2008,4002.88364073792,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2007,4116.45094720856,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2006,3970.73349887685,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2005,3844.73557120578,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2004,3743.56785736929,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2003,3674.08592758409,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2002,3681.2569427491,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2001,3778.25854755615,,,0
"GDP per capita, PPP (constant 2021 international $)",Kenya,KEN,2000,3756.63622296879,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2023,6403.14308780476,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2022,6139.77832836366,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2021,5736.47883415154,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2020,5537.79588482812,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2019,6087.60193826927,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2018,5951.8292293921,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2017,5861.22246508753,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2016,5715.01087451862,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2015,5600.21479787578,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2014,5513.75493632988,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2013,5418.54061993935,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2012,4993.39431683528,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2011,5092.85211661461,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2010,4876.47964886483,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2009,4969.96132720374,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2008,4894.9427801376,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2007,4558.71311158978,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2006,4240.17017797554,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2005,4156.95889490127,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2004,4211.52289559176,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2003,3982.92722017802,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2002,3760.53239965257,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2001,3795.89097724664,,,0
"GDP per capita, PPP (constant 2021 international $)",Kyrgyz Republic,KGZ,2000,3638.46351431821,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2023,50414.2083391764,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2022,49777.929303529,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2021,48419.6432513509,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2020,46361.5957811718,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2019,46757.2614496182,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2018,45890.4304094143,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2017,44787.6482354421,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2016,43538.0212717968,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2015,42459.9028857999,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2014,41518.0942296892,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2013,40483.2534082562,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2012,39420.4193918778,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2011,38698.4610967111,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2010,37610.9729146683,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2009,35390.5620151325,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2008,35293.4102047384,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2007,34522.2682574139,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2006,32795.1568589182,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2005,31319.1098686393,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2004,30089.1713176168,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2003,28716.1691006656,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2002,27984.6394791633,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2001,26128.3915101176,,,0
"GDP per capita, PPP (constant 2021 international $)","Korea, Rep.",KOR,2000,25111.1377134842,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2023,,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2022,11474.7505845558,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2021,11599.7755083765,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2020,12507.4366368078,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2019,15659.5661040012,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2018,16290.0516478592,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2017,16128.5838196051,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2016,15572.3611739774,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2015,14980.020515614,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2014,15205.873265402,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2013,16396.4969302163,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2012,17323.3013764282,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2011,17353.1960845294,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2010,17390.7584012958,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2009,16264.3506182706,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2008,14955.1413563252,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2007,13941.5614244767,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2006,13003.680803908,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2005,13024.6648924956,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2004,12882.0757995163,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2003,12272.3440677497,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2002,12053.8341563826,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2001,11817.9305012844,,,0
"GDP per capita, PPP (constant 2021 international $)",Lebanon,LBN,2000,11571.7326041085,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2023,12478.1434623596,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2022,11456.0768149668,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2021,12641.5097714075,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2020,9976.03740275891,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2019,14333.4224412442,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2018,16380.8515494718,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2017,15424.055430096,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2016,11828.7113766913,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2015,12192.1386217463,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2014,12495.792970176,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2013,16553.1426523565,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2012,20595.580038429,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2011,10739.0931713183,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2010,21109.9679253729,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2009,20513.5632098849,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2008,21909.429070862,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2007,22416.1098051613,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2006,21539.6274538208,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2005,20644.0270766892,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2004,18846.2418698799,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2003,18417.8843446972,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2002,16625.0592103276,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2001,17111.4835611225,,,0
"GDP per capita, PPP (constant 2021 international $)",Libya,LBY,2000,17742.3474896438,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2023,8868.7119140625,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2022,8666.0791015625,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2021,8623.265625,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2020,8054.56298828125,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2019,8768.17578125,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2018,8611.75,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2017,8450.0087890625,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2016,8141.9404296875,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2015,8198.80859375,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2014,7951.79833984375,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2013,7839.0322265625,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2012,7628.64404296875,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2011,7503.79296875,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2010,7210.63671875,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2009,7063.72705078125,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2008,6901.95068359375,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2007,6620.59033203125,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2006,6488.673828125,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2005,6103.42236328125,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2004,5996.39013671875,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2003,5810.05322265625,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2002,5544.07177734375,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2001,5417.57861328125,,,0
"GDP per capita, PPP (constant 2021 international $)",Morocco,MAR,2000,5100.11572265625,,,0
"GDP per capita, PPP (constant 2021 international $)",Maldives,MDV,2023,22286.9801703571,,,0
"GDP per capita, PPP (constant 2021 international $)",Maldives,MDV,2022,21357.8112511153,,,0
"GDP per capita, PPP (constant 2021 international $)",Maldives,MDV,2021,19052.6224904311,,,0
"GDP per capita, PPP (constant 2021 international $)",Maldives,MDV,2020,14242.9750701162,,,0
"GDP per capita, PPP (constant 2021 international $)",Maldives,MDV,2019,21855.501224579,,,0
"GDP per capita, PPP (constant 2021 international $)",Maldives,MDV,2018,20998.879189238,,,0
"GDP per capita, PPP (constant 2021 international $)",Maldives,MDV,2017,19948.4385847652,,,0
"GDP per capita, PPP (constant 2021 international $)",Maldives,MDV,2016,19263.5263628026,,,0
"GDP per capita, PPP (constant 2021 international $)",Maldives,MDV,2015,18715.3208296488,,,0
