職　種　名　（学歴）,,,,,"調　査
実人員","調 査 
事業所数","調査事
業所数
(復元後)",平  均  初  任  給  月  額,,,,,,,
,,,,,,,,企業規模計,,,,,,,
,,,,,,,,,,500人以上,,"100人以上
500人未満",," 50人以上 
100人未満",
,,,,,人,所,所,,円,,円,,円,,円
,,,,大学院博士課程修了,35 ,22 ,143 ,,"242,065",,"261,313",*,"215,514",,-
,,,,大学院修士課程修了,"1,103 ",337 ,"1,927 ",,"221,085",,"225,850",,"215,935",,"208,169"
新卒事務員,,,,大学卒,"9,711 ","2,245 ","11,712 ",,"194,848",,"198,293",,"192,609",,"190,075"
,,,,短大卒,951 ,441 ,"2,326 ",,"168,113",,"170,076",,"166,483",,"167,171"
,,,,高校卒,"2,141 ",777 ,"3,387 ",,"156,188",,"158,179",,"154,942",,"155,871"
,,,,大学院博士課程修了,81 ,43 ,249 ,,"246,872",,"258,319",,"231,762",*,"202,332"
,,,,大学院修士課程修了,"3,930 ",671 ,"3,475 ",,"220,602",,"225,971",,"215,329",,"203,804"
新卒技術者,,,,大学卒,"4,386 ","1,151 ","6,115 ",,"199,241",,"203,985",,"197,559",,"192,979"
,,,,短大卒,"1,231 ",475 ,"2,411 ",,"181,116",,"181,532",,"179,597",,"183,691"
,,,,高校卒,"2,674 ",765 ,"3,458 ",,"160,216",,"161,460",,"159,617",,"159,042"
,,,,大学院博士課程修了,46 ,24 ,98 ,,"261,777",,"266,784",*,"235,633",,-
新卒研究員,,,,大学院修士課程修了,412 ,92 ,440 ,,"225,660",,"230,768",,"213,380",,x
,,,,大学卒,95 ,42 ,197 ,,"201,906",,"208,452",,"196,166",*,"195,422"
新卒研究補助員,,,,短大卒,38 ,18 ,71 ,,"178,070",,"177,791",*,"178,770",,-
,,,,高校卒,10 ,7 ,23 ,*,"158,374",*,"158,049",*,"158,996",,-
準新卒医師,,,,,57 ,20 ,200 ,,"411,295",,"380,539",*,"478,687",,-
準新卒薬剤師,,,,,98 ,56 ,528 ,,"218,555",,"214,474",,"233,759",,x
準新卒診療放射線技師 ,,,,,17 ,15 ,151 ,,"201,466",*,"195,923",*,"212,712",,-
新卒栄養士,,,,大学卒,45 ,37 ,341 ,,"180,418",,"185,988",,"177,649",,x
,,,,短大卒,6 ,6 ,75 ,*,"168,637",,x,*,"166,264",,-
準新卒看護師,,,,,"1,419 ",186 ,"1,622 ",,"206,240",,"208,982",,"203,042",,-
準新卒准看護師,,,,,97 ,38 ,346 ,,"174,165",,"178,313",,"171,806",,-
,,,,大学院博士課程修了,10 ,5 ,24 ,*,"299,758",*,"292,127",*,"310,964",,-
新卒大学助教,,,,大学院修士課程修了,2 ,1 ,3 ,,x,,x,,-,,-
,,,,大学卒,3 ,3 ,7 ,*,"203,021",,x,*,"172,261",,-
新卒高等学校教諭,,,,大学院修士課程修了,7 ,6 ,20 ,*,"226,225",,x,*,"229,053",,x
,,,,大学卒,60 ,30 ,112 ,,"214,762",*,"216,429",,"214,253",*,"213,308"
新卒船員（海上技術学校本科卒 ）,,,,,6 ,5 ,14 ,*,"160,660",,-,*,"165,427",*,"154,034"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
