Class,Staple_Food_Sum,Meat_Sum
Ⅰ,48.59239970046752,51.40760029953248
Ⅱ,46.436354542531525,53.56364545746847
Ⅲ,44.863684585721266,55.136315414278734
Ⅳ,44.104821759089816,55.895178240910184
Ⅴ,42.42979359173225,57.57020640826775
